trade_id,pair,is_short,close_profit,close_profit_abs,stake_amount,open_date,close_date,exit_reason,strategy,trade_date,close_price,ema200,ema200_block,ema200_direction,crisis_block
668,ETH/USDT:USDT,False,0.0024620235634063,2.71903191,1103.83715,2026-04-16 15:40:08.261821+00:00,2026-04-16 16:10:12.022000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
669,ETH/USDT:USDT,True,1.90698855324728e-06,0.00211055,1107.298625,2026-04-16 16:35:07.630680+00:00,2026-04-16 17:05:26.976000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
670,ETH/USDT:USDT,False,0.0020661497073431,2.28851396,1107.0689925,2026-04-16 18:55:07.701956+00:00,2026-04-16 19:25:11.980000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
671,ETH/USDT:USDT,False,0.0009188406713109,1.0183396,1107.7336,2026-04-16 19:45:08.446474+00:00,2026-04-16 20:15:42.009000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
672,ETH/USDT:USDT,False,-0.0134511704373065,-14.90834637,1107.7769025,2026-04-17 02:00:08.378959+00:00,2026-04-17 02:35:11.963000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
673,BTC/USDT:USDT,False,0.0021202703529665,2.33584245,1101.121425,2026-04-17 05:55:07.683164+00:00,2026-04-17 06:25:08.512000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
674,BTC/USDT:USDT,False,-0.0077836871038165,-8.4746381,1088.225,2026-04-17 07:10:03.564211+00:00,2026-04-17 07:45:08.038000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
675,ETH/USDT:USDT,False,-0.0142625089955385,-15.76692574,1104.9280475,2026-04-17 07:10:07.723953+00:00,2026-04-17 07:45:09.011000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
676,BTC/USDT:USDT,False,0.0125952024850456,13.7642468,1092.2705,2026-04-17 08:35:12.364309+00:00,2026-04-17 09:05:18.126000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
677,ETH/USDT:USDT,False,-0.0041510901865112,-4.57101395,1100.60957,2026-04-17 08:35:07.789488+00:00,2026-04-17 09:10:08.518000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
